HospitalID	Work_ID	LastName	FirstName	Gender	PositionID	PositionTitle	Compensation	MaxTerm	StartDate	Phone	Email	Name	Zip	Website	TypeControl	Teaching	DonorType	NoFTE	NetPatRev	InOperExp	OutOperExp	OperRev	OperInc	AvlBeds
17718	811240	Charles	Kenneth	M	1	Regional Representative	46978	4	1/1/2009	405-744-3412	kenneth.charles@edihealth.com	Mercy Medical Center - Mount Shasta	96067	www.mercymtshasta.org	Non Profit	Small/Rural	Charity	215.5	123480.2705	22003500.15	22410053.85	45769108	1355554	60
17736	811240	Charles	Kenneth	M	3	Acting Director	248904	8	1/1/2006	405-744-3412	kenneth.charles@edihealth.com	Sierra Nevada Memorial Hospital	95945	www.snmh.org	Non Profit	Small/Rural	Charity	524.5	295579.235	56692825.1	50264174.9	109748000	2791000	121
33207	811240	Charles	Kenneth	M	2	State Board Representative	89473	3	1/1/2010	405-744-3412	kenneth.charles@edihealth.com	Memorial Hospital - Los Banos	93635-3419	www.memoriallosbanos.org	Non Profit	Small/Rural	Charity	235.0	105166.8934	15065967.36	23338063.64	39282960	878929	48
46985	548312	Smith	Frank	M	1	Regional Representative	46978	4	1/1/2010	405-744-5687	frank.smith@edihealth.com	Tahoe Forest Hospital District	96161	www.tfhd.com	District	Small/Rural	Charity	374.32	209348.9426	34782311.0	48159490.0	83034898	93097	62
28283	548312	Smith	Frank	M	3	Acting Director	248904	8	1/1/2005	405-744-5687	frank.smith@edihealth.com	Hi-Desert Medical Center	92252	www.hdmc.org	District	Small/Rural	Charity	451.5	145733.5765	31842679.16	21184931.84	53619042	591431	179
13722	625519	Brown	Marietta	F	4	Safety Inspection Member	23987	2	1/1/2012	469-235-8221	marietta.brown@ihc.com	Redwood Memorial Hospital	95540	www.stjosepheureka.org	Non Profit	Small/Rural	Charity	193.0	103189.4044	14252309.04	18158329.96	37957024	5546385	35
13738	229849	Milgrom	Patricia	F	4	Safety Inspection Member	23987	2	1/1/2011	479-178-9584	patricia.milgrom@brokenhealth.com	St. Mary Medical Center	92307-2206	www.stmary4health.com	Non Profit	Small/Rural	Charity	1216.0	540975.1175	125128283.3	66801544.65	199873795	7943967	186
38802	310431	Dong	HongWei	F	1	Regional Representative	46978	4	1/1/2010	479-354-4864	hongwei.dong@brokenhealth.com	Santa Ynez Valley Cottage Hospital	93463	www.sbch.org	Non Profit	Small/Rural	Charity	67.0	28773.45355	1780969.018	8235087.982	10751114	735057	20
46348	664583	Paanua	Kaaluai	M	1	Regional Representative	46978	4	1/1/2011	479-684-1883	kaaluai.paanua@brokenhealth.com	Barton Memorial Hospital	96150	www.bartonhealth.org	Non Profit	Small/Rural	Charity	750.0	335179.5574	53589036.09	67030147.91	126303054	5683870	119
37043	664583	Paanua	Kaaluai	M	2	State Board Representative	89473	3	1/1/2010	479-684-1883	kaaluai.paanua@brokenhealth.com	Colorado River Medical Center	92363	coloradorivermedical.org	Investor	Small/Rural	Charity	75.0	33593.68306	2309239.599	3787718.401	12295288	6198330	25
